target_file,function_name,line_num,# of totfailed_TCs,# of mutants,m1:f2p,m1:p2f,m2:f2p,m2:p2f,m3:f2p,m3:p2f,m4:f2p,m4:p2f,m5:f2p,m5:p2f,|muse(s)|,total_f2p,total_p2f,line_total_f2p,line_total_p2f,muse_1,muse_2,muse_3,muse_4,muse susp. score,met susp. score,bug,rank
xmlschemas.c,"xmlSchemaBucketFreeEntry(void * bucket, const xmlChar * name)",3604.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaBuildAContentModel(xmlSchemaParserCtxtPtr pctxt, xmlSchemaParticlePtr particle)",12701.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaBuildAbsoluteURI(xmlDictPtr dict, const xmlChar * location, xmlNodePtr ctxtNode)",10214.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaBuildContentModelForElement(xmlSchemaParserCtxtPtr ctxt, xmlSchemaParticlePtr particle)",12636.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckCOSSTRestricts(xmlSchemaParserCtxtPtr pctxt, xmlSchemaTypePtr type)",15264.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaBuildContentModelForSubstGroup(xmlSchemaParserCtxtPtr pctxt, xmlSchemaParticlePtr particle, int counter, xmlAutomataStatePtr end)",12519.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckAGPropsCorrect(xmlSchemaParserCtxtPtr pctxt, xmlSchemaAttributeGroupPtr attrGr)",19294.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckAttrGroupCircular(xmlSchemaAttributeGroupPtr attrGr, xmlSchemaParserCtxtPtr ctxt)",19030.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckAttrGroupCircularRecur(xmlSchemaAttributeGroupPtr ctxtGr, xmlSchemaItemListPtr list)",18980.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckAttrPropsCorrect(xmlSchemaParserCtxtPtr pctxt, xmlSchemaAttributePtr attr)",19428.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckAttrUsePropsCorrect(xmlSchemaParserCtxtPtr ctxt, xmlSchemaAttributeUsePtr use)",20147.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckCOSCTDerivedOK(xmlSchemaAbstractCtxtPtr actxt, xmlSchemaTypePtr type, xmlSchemaTypePtr baseType, int set)",16038.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckCOSCTExtends(xmlSchemaParserCtxtPtr ctxt, xmlSchemaTypePtr type)",16138.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckCOSDerivedOK(xmlSchemaAbstractCtxtPtr actxt, xmlSchemaTypePtr type, xmlSchemaTypePtr baseType, int set)",16109.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckCOSNSSubset(xmlSchemaWildcardPtr sub, xmlSchemaWildcardPtr super)",13931.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaClearElemInfo(xmlSchemaValidCtxtPtr vctxt, xmlSchemaNodeInfoPtr ielem)",23995.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckCOSSTDerivedOK(xmlSchemaAbstractCtxtPtr actxt, xmlSchemaTypePtr type, xmlSchemaTypePtr baseType, int subset)",14810.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaClearSchemaDefaults(xmlSchemaPtr schema),9581.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaAreValuesEqual(xmlSchemaValPtr x, xmlSchemaValPtr y)",20041.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaClearValidCtxt(xmlSchemaValidCtxtPtr vctxt),27473.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFixupSimpleTypeStageTwo(xmlSchemaParserCtxtPtr pctxt, xmlSchemaTypePtr type)",18010.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFixupTypeAttributeUses(xmlSchemaParserCtxtPtr pctxt, xmlSchemaTypePtr type)",14379.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFormatErrorNodeQName(xmlChar ** str, xmlSchemaNodeInfoPtr ni, xmlNodePtr node)",2565.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFormatFacetEnumSet(xmlSchemaAbstractCtxtPtr actxt, xmlChar ** buf, xmlSchemaTypePtr type)",1838.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFormatIDCKeySequence(xmlSchemaValidCtxtPtr vctxt, xmlChar ** buf, xmlSchemaPSVIIDCKeyPtr * seq, int count)",22556.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFormatIDCKeySequence_1(xmlSchemaValidCtxtPtr vctxt, xmlChar ** buf, xmlSchemaPSVIIDCKeyPtr * seq, int count, int for_hash)",22516.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFormatItemForReport(xmlChar ** buf, const xmlChar * itemDes, xmlSchemaBasicItemPtr item, xmlNodePtr itemNode)",1622.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFormatNodeForError(xmlChar ** msg, xmlSchemaAbstractCtxtPtr actxt, xmlNodePtr node)",2232.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFormatQName(xmlChar ** buf, const xmlChar * namespaceName, const xmlChar * localName)",1306.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFormatQNameNs(xmlChar ** buf, xmlNsPtr ns, const xmlChar * localName)",1327.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFree(xmlSchemaPtr schema),4179.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeAnnot(xmlSchemaAnnotPtr annot),3764.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeAttribute(xmlSchemaAttributePtr attr),3804.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeAttributeGroup(xmlSchemaAttributeGroupPtr attrGr),3892.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeAttributeUse(xmlSchemaAttributeUsePtr use),3822.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeAttributeUseProhib(xmlSchemaAttributeUseProhibPtr prohib),3840.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeElement(xmlSchemaElementPtr elem),3990.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeFacet(xmlSchemaFacetPtr facet),4010.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeIDC(xmlSchemaIDCPtr idcDef),3955.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeIDCStateObjList(xmlSchemaIDCStateObjPtr sto),3934.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeModelGroup(xmlSchemaModelGroupPtr item),4086.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeModelGroupDef(xmlSchemaModelGroupDefPtr item),4072.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeNotation(xmlSchemaNotationPtr nota),3788.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeParserCtxt(xmlSchemaParserCtxtPtr ctxt),12487.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaFreeQNameRef(xmlSchemaQNameRefPtr item),3910.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaFixupSimpleTypeStageOne(xmlSchemaParserCtxtPtr pctxt, xmlSchemaTypePtr type)",17936.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
